"registry_code","sex","age_group","number_of_cases","person_years_at_risk","discription","start","end","latitude","longitude"
203200599,1,9,14,120608,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,5,1,172467,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,3,0,198340,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,8,5,137761,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,2,0,181200,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,19,0,0,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,12,46,101227,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,4,0,187150,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,1,0,177107,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,13,128,80803,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,12,112,95332,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,16,34,51178,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,11,29,111499,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,14,108,63329,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,15,38,62358,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,6,0,159065,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,4,0,192668,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,7,2,154399,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,16,75,31867,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,11,78,104347,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,6,0,159235,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,3,0,192129,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,17,54,29718,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,15,113,46465,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,9,4,123669,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,10,30,114019,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,18,24,0,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,8,0,139629,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,14,36,75272,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,5,0,169508,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,10,19,119131,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,7,2,156758,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,1,19,0,0,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200599,2,13,36,89447,"Argentina, Entre Rios Province",2008,2011,-23.2059873,-65.3509037
203200699,2,18,36,0,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,17,70,50593,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,11,73,156187,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,9,7,199057,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,19,0,0,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,10,35,171339,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,12,131,144461,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,9,11,183247,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,13,155,124287,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,16,105,52742,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,1,0,281002,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,15,157,71134,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,8,6,224450,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,4,0,293449,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,7,3,276631,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,8,2,234314,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,2,0,271241,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,11,39,180697,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,10,17,191149,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,18,29,0,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,13,73,154750,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,12,51,173143,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,7,5,271189,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,3,0,274157,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,5,1,318053,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,14,171,94611,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,14,72,126795,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,6,0,310402,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,17,46,115954,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,5,1,329630,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,15,63,101894,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,6,1,302318,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,2,0,260038,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,1,0,266042,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,4,0,293665,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,16,37,87667,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,1,19,0,0,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200699,2,3,0,265311,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200799,2,19,0,0,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,12,55,215365,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,10,10,238090,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,18,31,49465,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,16,75,99808,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,14,59,147572,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,5,0,366842,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,11,30,225435,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,17,51,83740,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200799,2,15,63,117726,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
